Trace Width (Rx L mm),Trace Thickness (Rx L mm),Number of Turns (Rx L),Trace Width (Rx L+C mm),Trace Thickness (Rx L+C mm),Number of Turns (Rx L+C),Gap Between Segments (mm),Center Area Percentage,Capacitor Area Length (mm),Capacitor Area Width (mm),Rx Coil Area Length (mm),Rx Coil Area Width (mm),Tx Coil Area Length (mm),Tx Coil Area Width (mm),Mutual Inductance Segment L (H),Mutual Inductance Segment L+C (H),Final Mutual Inductance (H)
0.05999999865889549,0.05999999865889549,22,0.05999999865889549,0.05999999865889549,22,0.550000011920929,0.15000000596046448,"tensor(5.0010, device='cuda:0')","tensor(3.9915, device='cuda:0')","tensor(28.3390, device='cuda:0')","tensor(22.6185, device='cuda:0')","tensor(141.6950, device='cuda:0')","tensor(113.0925, device='cuda:0')",2.4679951415862433e-09,2.4679951415862433e-09,4.935990283172487e-09
0.05999999865889549,0.05999999865889549,21,0.05999999865889549,0.05999999865889549,21,0.5999999642372131,0.15000000596046448,"tensor(5.0010, device='cuda:0')","tensor(3.9915, device='cuda:0')","tensor(28.3390, device='cuda:0')","tensor(22.6185, device='cuda:0')","tensor(141.6950, device='cuda:0')","tensor(113.0925, device='cuda:0')",2.9248599098252726e-09,2.9248599098252726e-09,5.849719819650545e-09
0.05999999865889549,0.05999999865889549,19,0.05999999865889549,0.05999999865889549,19,0.6499999761581421,0.15000000596046448,"tensor(5.0010, device='cuda:0')","tensor(3.9915, device='cuda:0')","tensor(28.3390, device='cuda:0')","tensor(22.6185, device='cuda:0')","tensor(141.6950, device='cuda:0')","tensor(113.0925, device='cuda:0')",4.376662587901592e-09,4.376662587901592e-09,8.753325175803184e-09
0.05999999865889549,0.05999999865889549,18,0.05999999865889549,0.05999999865889549,18,0.699999988079071,0.15000000596046448,"tensor(5.0010, device='cuda:0')","tensor(3.9915, device='cuda:0')","tensor(28.3390, device='cuda:0')","tensor(22.6185, device='cuda:0')","tensor(141.6950, device='cuda:0')","tensor(113.0925, device='cuda:0')",5.323897767084418e-09,5.323897767084418e-09,1.0647795534168836e-08
0.05999999865889549,0.05999999865889549,17,0.05999999865889549,0.05999999865889549,17,0.75,0.15000000596046448,"tensor(5.0010, device='cuda:0')","tensor(3.9915, device='cuda:0')","tensor(28.3390, device='cuda:0')","tensor(22.6185, device='cuda:0')","tensor(141.6950, device='cuda:0')","tensor(113.0925, device='cuda:0')",6.541073904742234e-09,6.541073904742234e-09,1.3082147809484468e-08
0.05999999865889549,0.05999999865889549,16,0.05999999865889549,0.05999999865889549,16,0.800000011920929,0.15000000596046448,"tensor(5.0010, device='cuda:0')","tensor(3.9915, device='cuda:0')","tensor(28.3390, device='cuda:0')","tensor(22.6185, device='cuda:0')","tensor(141.6950, device='cuda:0')","tensor(113.0925, device='cuda:0')",8.121473271671675e-09,8.121473271671675e-09,1.624294654334335e-08
0.05999999865889549,0.05999999865889549,15,0.05999999865889549,0.05999999865889549,15,0.8500000238418579,0.15000000596046448,"tensor(5.0010, device='cuda:0')","tensor(3.9915, device='cuda:0')","tensor(28.3390, device='cuda:0')","tensor(22.6185, device='cuda:0')","tensor(141.6950, device='cuda:0')","tensor(113.0925, device='cuda:0')",1.0199141087241514e-08,1.0199141087241514e-08,2.039828217448303e-08
0.05999999865889549,0.05999999865889549,14,0.05999999865889549,0.05999999865889549,14,0.8999999761581421,0.15000000596046448,"tensor(5.0010, device='cuda:0')","tensor(3.9915, device='cuda:0')","tensor(28.3390, device='cuda:0')","tensor(22.6185, device='cuda:0')","tensor(141.6950, device='cuda:0')","tensor(113.0925, device='cuda:0')",1.2964514795044124e-08,1.2964514795044124e-08,2.592902959008825e-08
0.05999999865889549,0.05999999865889549,13,0.05999999865889549,0.05999999865889549,13,0.949999988079071,0.15000000596046448,"tensor(5.0010, device='cuda:0')","tensor(3.9915, device='cuda:0')","tensor(28.3390, device='cuda:0')","tensor(22.6185, device='cuda:0')","tensor(141.6950, device='cuda:0')","tensor(113.0925, device='cuda:0')",1.6695683058287614e-08,1.6695683058287614e-08,3.339136611657523e-08
0.05999999865889549,0.10000000149011612,128,0.05999999865889549,0.10000000149011612,128,0.05000000074505806,0.15000000596046448,"tensor(5.0010, device='cuda:0')","tensor(3.9915, device='cuda:0')","tensor(28.3390, device='cuda:0')","tensor(22.6185, device='cuda:0')","tensor(141.6950, device='cuda:0')","tensor(113.0925, device='cuda:0')",1.4865784384726632e-12,1.4865784384726632e-12,2.9731568769453265e-12
