Trace Width (Rx L mm),Trace Thickness (Rx L mm),Number of Turns (Rx L),Trace Width (Rx L+C mm),Trace Thickness (Rx L+C mm),Number of Turns (Rx L+C),Gap Between Segments (mm),Center Area Percentage,Capacitor Area Length (mm),Capacitor Area Width (mm),Rx Coil Area Length (mm),Rx Coil Area Width (mm),Tx Coil Area Length (mm),Tx Coil Area Width (mm),Number of Turns per Tx Segment,Mutual Inductance Segment L (H),Mutual Inductance Segment L+C (H),Final Mutual Inductance (H)
0.06,0.34,20,0.06,0.34,20,0.35,0.15,3,5.55,17,31.45,85,157.25,,4.93E-09,4.93E-09,9.86E-09
0.06,0.34,18,0.06,0.34,18,0.4,0.15,3,5.55,17,31.45,85,157.25,,6.81E-09,6.81E-09,1.36E-08
0.06,0.34,16,0.06,0.34,16,0.45,0.15,3,5.55,17,31.45,85,157.25,,9.72E-09,9.72E-09,1.94E-08
0.06,0.34,14,0.06,0.34,14,0.5,0.15,3,5.55,17,31.45,85,157.25,,1.49E-08,1.49E-08,2.97E-08
0.06,0.34,13,0.06,0.34,13,0.55,0.15,3,5.55,17,31.45,85,157.25,,1.77E-08,1.77E-08,3.53E-08
0.06,0.34,12,0.06,0.34,12,0.6,0.15,3,5.55,17,31.45,85,157.25,,2.12E-08,2.12E-08,4.25E-08
0.06,0.34,11,0.06,0.34,11,0.65,0.15,3,5.55,17,31.45,85,157.25,,2.58E-08,2.58E-08,5.17E-08
0.06,0.34,10,0.06,0.34,10,0.7,0.15,3,5.55,17,31.45,85,157.25,,3.31E-08,3.31E-08,6.62E-08
0.06,0.34,10,0.06,0.34,10,0.75,0.15,3,5.55,17,31.45,85,157.25,,2.92E-08,2.92E-08,5.84E-08
0.06,0.34,9,0.06,0.34,9,0.8,0.15,3,5.55,17,31.45,85,157.25,,3.81E-08,3.81E-08,7.62E-08
0.06,0.34,8,0.06,0.34,8,0.85,0.15,3,5.55,17,31.45,85,157.25,,5.08E-08,5.08E-08,1.02E-07
0.06,0.34,8,0.06,0.34,8,0.9,0.15,3,5.55,17,31.45,85,157.25,,4.67E-08,4.67E-08,9.33E-08
0.06,0.34,7,0.06,0.34,7,0.95,0.15,3,5.55,17,31.45,85,157.25,,6.38E-08,6.38E-08,1.28E-07
0.06,0.38,77,0.06,0.38,77,0.05,0.15,3,5.55,17,31.45,85,157.25,,2.17E-11,2.17E-11,4.33E-11
0.06,0.38,52,0.06,0.38,52,0.1,0.15,3,5.55,17,31.45,85,157.25,,1.25E-10,1.25E-10,2.50E-10
0.06,0.38,40,0.06,0.38,40,0.15,0.15,3,5.55,17,31.45,85,157.25,,3.80E-10,3.80E-10,7.59E-10
0.06,0.38,32,0.06,0.38,32,0.2,0.15,3,5.55,17,31.45,85,157.25,,9.45E-10,9.45E-10,1.89E-09
0.06,0.38,27,0.06,0.38,27,0.25,0.15,3,5.55,17,31.45,85,157.25,,1.78E-09,1.78E-09,3.56E-09
0.06,0.38,23,0.06,0.38,23,0.3,0.15,3,5.55,17,31.45,85,157.25,,3.27E-09,3.27E-09,6.54E-09
0.06,0.38,20,0.06,0.38,20,0.35,0.15,3,5.55,17,31.45,85,157.25,,5.35E-09,5.35E-09,1.07E-08
0.06,0.38,18,0.06,0.38,18,0.4,0.15,3,5.55,17,31.45,85,157.25,,7.39E-09,7.39E-09,1.48E-08
0.06,0.38,16,0.06,0.38,16,0.45,0.15,3,5.55,17,31.45,85,157.25,,1.06E-08,1.06E-08,2.11E-08
0.06,0.38,14,0.06,0.38,14,0.5,0.15,3,5.55,17,31.45,85,157.25,,1.62E-08,1.62E-08,3.24E-08
0.06,0.38,13,0.06,0.38,13,0.55,0.15,3,5.55,17,31.45,85,157.25,,1.93E-08,1.93E-08,3.86E-08
0.06,0.38,12,0.06,0.38,12,0.6,0.15,3,5.55,17,31.45,85,157.25,,2.41E-08,2.41E-08,4.83E-08
0.06,0.38,11,0.06,0.38,11,0.65,0.15,3,5.55,17,31.45,85,157.25,,2.96E-08,2.96E-08,5.91E-08
0.06,0.38,10,0.06,0.38,10,0.7,0.15,3,5.55,17,31.45,85,157.25,,3.83E-08,3.83E-08,7.65E-08
0.06,0.38,10,0.06,0.38,10,0.75,0.15,3,5.55,17,31.45,85,157.25,,3.37E-08,3.37E-08,6.74E-08
0.06,0.38,9,0.06,0.38,9,0.8,0.15,3,5.55,17,31.45,85,157.25,,4.45E-08,4.45E-08,8.91E-08
0.06,0.38,8,0.06,0.38,8,0.85,0.15,3,5.55,17,31.45,85,157.25,,6.03E-08,6.03E-08,1.21E-07
0.06,0.38,8,0.06,0.38,8,0.9,0.15,3,5.55,17,31.45,85,157.25,,5.54E-08,5.54E-08,1.11E-07
0.06,0.38,7,0.06,0.38,7,0.95,0.15,3,5.55,17,31.45,85,157.25,,7.75E-08,7.75E-08,1.55E-07
0.06,0.42,77,0.06,0.42,77,0.05,0.15,3,5.55,17,31.45,85,157.25,,2.16E-11,2.16E-11,4.33E-11
0.06,0.42,52,0.06,0.42,52,0.1,0.15,3,5.55,17,31.45,85,157.25,,1.27E-10,1.27E-10,2.55E-10
0.06,0.42,40,0.06,0.42,40,0.15,0.15,3,5.55,17,31.45,85,157.25,,3.92E-10,3.92E-10,7.85E-10
0.06,0.42,32,0.06,0.42,32,0.2,0.15,3,5.55,17,31.45,85,157.25,,9.72E-10,9.72E-10,1.94E-09
0.06,0.42,27,0.06,0.42,27,0.25,0.15,3,5.55,17,31.45,85,157.25,,1.86E-09,1.86E-09,3.73E-09
0.06,0.42,23,0.06,0.42,23,0.3,0.15,3,5.55,17,31.45,85,157.25,,3.42E-09,3.42E-09,6.83E-09
0.06,0.42,20,0.06,0.42,20,0.35,0.15,3,5.55,17,31.45,85,157.25,,5.58E-09,5.58E-09,1.12E-08
0.06,0.42,18,0.06,0.42,18,0.4,0.15,3,5.55,17,31.45,85,157.25,,7.92E-09,7.92E-09,1.58E-08
0.06,0.42,16,0.06,0.42,16,0.45,0.15,3,5.55,17,31.45,85,157.25,,1.17E-08,1.17E-08,2.34E-08
0.06,0.42,14,0.06,0.42,14,0.5,0.15,3,5.55,17,31.45,85,157.25,,1.81E-08,1.81E-08,3.61E-08
0.06,0.42,13,0.06,0.42,13,0.55,0.15,3,5.55,17,31.45,85,157.25,,2.16E-08,2.16E-08,4.32E-08
0.06,0.42,12,0.06,0.42,12,0.6,0.15,3,5.55,17,31.45,85,157.25,,2.62E-08,2.62E-08,5.23E-08
0.06,0.42,11,0.06,0.42,11,0.65,0.15,3,5.55,17,31.45,85,157.25,,3.35E-08,3.35E-08,6.69E-08
0.06,0.42,10,0.06,0.42,10,0.7,0.15,3,5.55,17,31.45,85,157.25,,4.37E-08,4.37E-08,8.74E-08
0.06,0.42,10,0.06,0.42,10,0.75,0.15,3,5.55,17,31.45,85,157.25,,3.84E-08,3.84E-08,7.69E-08
0.06,0.42,9,0.06,0.42,9,0.8,0.15,3,5.55,17,31.45,85,157.25,,5.14E-08,5.14E-08,1.03E-07
0.06,0.42,8,0.06,0.42,8,0.85,0.15,3,5.55,17,31.45,85,157.25,,7.08E-08,7.08E-08,1.42E-07
0.06,0.42,8,0.06,0.42,8,0.9,0.15,3,5.55,17,31.45,85,157.25,,6.50E-08,6.50E-08,1.30E-07
0.06,0.42,7,0.06,0.42,7,0.95,0.15,3,5.55,17,31.45,85,157.25,,9.30E-08,9.30E-08,1.86E-07
0.06,0.46,77,0.06,0.46,77,0.05,0.15,3,5.55,17,31.45,85,157.25,,2.19E-11,2.19E-11,4.38E-11
0.06,0.46,52,0.06,0.46,52,0.1,0.15,3,5.55,17,31.45,85,157.25,,1.31E-10,1.31E-10,2.61E-10
0.06,0.46,40,0.06,0.46,40,0.15,0.15,3,5.55,17,31.45,85,157.25,,4.00E-10,4.00E-10,7.99E-10
0.06,0.46,32,0.06,0.46,32,0.2,0.15,3,5.55,17,31.45,85,157.25,,1.01E-09,1.01E-09,2.01E-09
0.06,0.46,27,0.06,0.46,27,0.25,0.15,3,5.55,17,31.45,85,157.25,,1.97E-09,1.97E-09,3.94E-09
0.06,0.46,23,0.06,0.46,23,0.3,0.15,3,5.55,17,31.45,85,157.25,,3.61E-09,3.61E-09,7.23E-09
0.06,0.46,20,0.06,0.46,20,0.35,0.15,3,5.55,17,31.45,85,157.25,,5.91E-09,5.91E-09,1.18E-08
0.06,0.46,18,0.06,0.46,18,0.4,0.15,3,5.55,17,31.45,85,157.25,,8.39E-09,8.39E-09,1.68E-08
0.06,0.46,16,0.06,0.46,16,0.45,0.15,3,5.55,17,31.45,85,157.25,,1.24E-08,1.24E-08,2.48E-08
0.06,0.46,14,0.06,0.46,14,0.5,0.15,3,5.55,17,31.45,85,157.25,,1.93E-08,1.93E-08,3.85E-08
0.06,0.46,13,0.06,0.46,13,0.55,0.15,3,5.55,17,31.45,85,157.25,,2.39E-08,2.39E-08,4.78E-08
0.06,0.46,12,0.06,0.46,12,0.6,0.15,3,5.55,17,31.45,85,157.25,,2.91E-08,2.91E-08,5.82E-08
0.06,0.46,11,0.06,0.46,11,0.65,0.15,3,5.55,17,31.45,85,157.25,,3.75E-08,3.75E-08,7.50E-08
0.06,0.46,10,0.06,0.46,10,0.7,0.15,3,5.55,17,31.45,85,157.25,,4.94E-08,4.94E-08,9.88E-08
0.06,0.46,10,0.06,0.46,10,0.75,0.15,3,5.55,17,31.45,85,157.25,,4.34E-08,4.34E-08,8.67E-08
0.06,0.46,9,0.06,0.46,9,0.8,0.15,3,5.55,17,31.45,85,157.25,,5.87E-08,5.87E-08,1.17E-07
0.06,0.46,8,0.06,0.46,8,0.85,0.15,3,5.55,17,31.45,85,157.25,,8.64E-08,8.64E-08,1.73E-07
0.06,0.46,8,0.06,0.46,8,0.9,0.15,3,5.55,17,31.45,85,157.25,,7.94E-08,7.94E-08,1.59E-07
0.06,0.46,7,0.06,0.46,7,0.95,0.15,3,5.55,17,31.45,85,157.25,,1.17E-07,1.17E-07,2.33E-07
0.06,0.5,77,0.06,0.5,77,0.05,0.15,3,5.55,17,31.45,85,157.25,,2.23E-11,2.23E-11,4.45E-11
0.06,0.5,52,0.06,0.5,52,0.1,0.15,3,5.55,17,31.45,85,157.25,,1.32E-10,1.32E-10,2.64E-10
0.06,0.5,40,0.06,0.5,40,0.15,0.15,3,5.55,17,31.45,85,157.25,,4.10E-10,4.10E-10,8.21E-10
0.06,0.5,32,0.06,0.5,32,0.2,0.15,3,5.55,17,31.45,85,157.25,,1.03E-09,1.03E-09,2.06E-09
0.06,0.5,27,0.06,0.5,27,0.25,0.15,3,5.55,17,31.45,85,157.25,,2.01E-09,2.01E-09,4.03E-09
0.06,0.5,23,0.06,0.5,23,0.3,0.15,3,5.55,17,31.45,85,157.25,,3.79E-09,3.79E-09,7.57E-09
0.06,0.5,20,0.06,0.5,20,0.35,0.15,3,5.55,17,31.45,85,157.25,,6.19E-09,6.19E-09,1.24E-08
0.06,0.5,18,0.06,0.5,18,0.4,0.15,3,5.55,17,31.45,85,157.25,,8.80E-09,8.80E-09,1.76E-08
0.06,0.5,16,0.06,0.5,16,0.45,0.15,3,5.55,17,31.45,85,157.25,,1.35E-08,1.35E-08,2.70E-08
0.06,0.5,14,0.06,0.5,14,0.5,0.15,3,5.55,17,31.45,85,157.25,,2.10E-08,2.10E-08,4.21E-08
0.06,0.5,13,0.06,0.5,13,0.55,0.15,3,5.55,17,31.45,85,157.25,,2.53E-08,2.53E-08,5.05E-08
0.06,0.5,12,0.06,0.5,12,0.6,0.15,3,5.55,17,31.45,85,157.25,,3.21E-08,3.21E-08,6.41E-08
0.06,0.5,11,0.06,0.5,11,0.65,0.15,3,5.55,17,31.45,85,157.25,,4.16E-08,4.16E-08,8.32E-08
0.06,0.5,10,0.06,0.5,10,0.7,0.15,3,5.55,17,31.45,85,157.25,,5.53E-08,5.53E-08,1.11E-07
0.06,0.5,10,0.06,0.5,10,0.75,0.15,3,5.55,17,31.45,85,157.25,,5.07E-08,5.07E-08,1.01E-07
0.06,0.5,9,0.06,0.5,9,0.8,0.15,3,5.55,17,31.45,85,157.25,,6.96E-08,6.96E-08,1.39E-07
0.06,0.5,8,0.06,0.5,8,0.85,0.15,3,5.55,17,31.45,85,157.25,,9.91E-08,9.91E-08,1.98E-07
0.06,0.5,8,0.06,0.5,8,0.9,0.15,3,5.55,17,31.45,85,157.25,,9.08E-08,9.08E-08,1.82E-07
0.06,0.5,7,0.06,0.5,7,0.95,0.15,3,5.55,17,31.45,85,157.25,,1.36E-07,1.36E-07,2.72E-07
0.06,0.54,77,0.06,0.54,77,0.05,0.15,3,5.55,17,31.45,85,157.25,,2.24E-11,2.24E-11,4.47E-11
0.06,0.54,52,0.06,0.54,52,0.1,0.15,3,5.55,17,31.45,85,157.25,,1.35E-10,1.35E-10,2.69E-10
0.06,0.54,40,0.06,0.54,40,0.15,0.15,3,5.55,17,31.45,85,157.25,,4.17E-10,4.17E-10,8.34E-10
0.06,0.54,32,0.06,0.54,32,0.2,0.15,3,5.55,17,31.45,85,157.25,,1.07E-09,1.07E-09,2.14E-09
0.06,0.54,27,0.06,0.54,27,0.25,0.15,3,5.55,17,31.45,85,157.25,,2.09E-09,2.09E-09,4.17E-09
0.06,0.54,23,0.06,0.54,23,0.3,0.15,3,5.55,17,31.45,85,157.25,,3.93E-09,3.93E-09,7.86E-09
0.06,0.54,20,0.06,0.54,20,0.35,0.15,3,5.55,17,31.45,85,157.25,,6.63E-09,6.63E-09,1.33E-08
0.06,0.54,18,0.06,0.54,18,0.4,0.15,3,5.55,17,31.45,85,157.25,,9.44E-09,9.44E-09,1.89E-08
0.06,0.54,16,0.06,0.54,16,0.45,0.15,3,5.55,17,31.45,85,157.25,,1.40E-08,1.40E-08,2.81E-08
0.06,0.54,14,0.06,0.54,14,0.5,0.15,3,5.55,17,31.45,85,157.25,,2.28E-08,2.28E-08,4.56E-08
0.06,0.54,13,0.06,0.54,13,0.55,0.15,3,5.55,17,31.45,85,157.25,,2.75E-08,2.75E-08,5.49E-08
0.06,0.54,12,0.06,0.54,12,0.6,0.15,3,5.55,17,31.45,85,157.25,,3.50E-08,3.50E-08,7.00E-08
0.06,0.54,11,0.06,0.54,11,0.65,0.15,3,5.55,17,31.45,85,157.25,,4.57E-08,4.57E-08,9.14E-08
0.06,0.54,10,0.06,0.54,10,0.7,0.15,3,5.55,17,31.45,85,157.25,,6.12E-08,6.12E-08,1.22E-07
0.06,0.54,10,0.06,0.54,10,0.75,0.15,3,5.55,17,31.45,85,157.25,,5.60E-08,5.60E-08,1.12E-07
0.06,0.54,9,0.06,0.54,9,0.8,0.15,3,5.55,17,31.45,85,157.25,,7.76E-08,7.76E-08,1.55E-07
0.06,0.54,8,0.06,0.54,8,0.85,0.15,3,5.55,17,31.45,85,157.25,,1.12E-07,1.12E-07,2.24E-07
0.06,0.54,8,0.06,0.54,8,0.9,0.15,3,5.55,17,31.45,85,157.25,,1.02E-07,1.02E-07,2.04E-07
0.06,0.54,7,0.06,0.54,7,0.95,0.15,3,5.55,17,31.45,85,157.25,,1.52E-07,1.52E-07,3.04E-07
0.06,0.58,77,0.06,0.58,77,0.05,0.15,3,5.55,17,31.45,85,157.25,,2.22E-11,2.22E-11,4.44E-11
0.06,0.58,52,0.06,0.58,52,0.1,0.15,3,5.55,17,31.45,85,157.25,,1.36E-10,1.36E-10,2.72E-10
0.06,0.58,40,0.06,0.58,40,0.15,0.15,3,5.55,17,31.45,85,157.25,,4.30E-10,4.30E-10,8.60E-10
0.06,0.58,32,0.06,0.58,32,0.2,0.15,3,5.55,17,31.45,85,157.25,,1.10E-09,1.10E-09,2.20E-09
0.06,0.58,27,0.06,0.58,27,0.25,0.15,3,5.55,17,31.45,85,157.25,,2.15E-09,2.15E-09,4.29E-09
0.06,0.58,23,0.06,0.58,23,0.3,0.15,3,5.55,17,31.45,85,157.25,,4.05E-09,4.05E-09,8.09E-09
0.06,0.58,20,0.06,0.58,20,0.35,0.15,3,5.55,17,31.45,85,157.25,,6.82E-09,6.82E-09,1.36E-08
0.06,0.58,18,0.06,0.58,18,0.4,0.15,3,5.55,17,31.45,85,157.25,,1.01E-08,1.01E-08,2.01E-08
0.06,0.58,16,0.06,0.58,16,0.45,0.15,3,5.55,17,31.45,85,157.25,,1.50E-08,1.50E-08,3.00E-08
0.06,0.58,14,0.06,0.58,14,0.5,0.15,3,5.55,17,31.45,85,157.25,,2.45E-08,2.45E-08,4.90E-08
0.06,0.58,13,0.06,0.58,13,0.55,0.15,3,5.55,17,31.45,85,157.25,,2.96E-08,2.96E-08,5.92E-08
0.06,0.58,12,0.06,0.58,12,0.6,0.15,3,5.55,17,31.45,85,157.25,,3.79E-08,3.79E-08,7.58E-08
0.06,0.58,11,0.06,0.58,11,0.65,0.15,3,5.55,17,31.45,85,157.25,,4.97E-08,4.97E-08,9.94E-08
0.06,0.58,10,0.06,0.58,10,0.7,0.15,3,5.55,17,31.45,85,157.25,,6.70E-08,6.70E-08,1.34E-07
0.06,0.58,10,0.06,0.58,10,0.75,0.15,3,5.55,17,31.45,85,157.25,,6.10E-08,6.10E-08,1.22E-07
0.06,0.58,9,0.06,0.58,9,0.8,0.15,3,5.55,17,31.45,85,157.25,,8.04E-08,8.04E-08,1.61E-07
0.06,0.58,8,0.06,0.58,8,0.85,0.15,3,5.55,17,31.45,85,157.25,,1.09E-07,1.09E-07,2.18E-07
0.06,0.58,8,0.06,0.58,8,0.9,0.15,3,5.55,17,31.45,85,157.25,,9.96E-08,9.96E-08,1.99E-07
0.06,0.58,7,0.06,0.58,7,0.95,0.15,3,5.55,17,31.45,85,157.25,,1.40E-07,1.40E-07,2.80E-07
0.06,0.62,77,0.06,0.62,77,0.05,0.15,3,5.55,17,31.45,85,157.25,,2.23E-11,2.23E-11,4.46E-11
0.06,0.62,52,0.06,0.62,52,0.1,0.15,3,5.55,17,31.45,85,157.25,,1.36E-10,1.36E-10,2.72E-10
0.06,0.62,40,0.06,0.62,40,0.15,0.15,3,5.55,17,31.45,85,157.25,,4.29E-10,4.29E-10,8.58E-10
0.06,0.62,32,0.06,0.62,32,0.2,0.15,3,5.55,17,31.45,85,157.25,,1.13E-09,1.13E-09,2.25E-09
0.06,0.62,27,0.06,0.62,27,0.25,0.15,3,5.55,17,31.45,85,157.25,,2.26E-09,2.26E-09,4.51E-09
0.06,0.62,23,0.06,0.62,23,0.3,0.15,3,5.55,17,31.45,85,157.25,,4.26E-09,4.26E-09,8.52E-09
0.06,0.62,20,0.06,0.62,20,0.35,0.15,3,5.55,17,31.45,85,157.25,,7.20E-09,7.20E-09,1.44E-08
0.06,0.62,18,0.06,0.62,18,0.4,0.15,3,5.55,17,31.45,85,157.25,,1.03E-08,1.03E-08,2.06E-08
0.06,0.62,16,0.06,0.62,16,0.45,0.15,3,5.55,17,31.45,85,157.25,,1.59E-08,1.59E-08,3.18E-08
0.06,0.62,14,0.06,0.62,14,0.5,0.15,3,5.55,17,31.45,85,157.25,,2.62E-08,2.62E-08,5.23E-08
0.06,0.62,13,0.06,0.62,13,0.55,0.15,3,5.55,17,31.45,85,157.25,,3.16E-08,3.16E-08,6.33E-08
0.06,0.62,12,0.06,0.62,12,0.6,0.15,3,5.55,17,31.45,85,157.25,,4.06E-08,4.06E-08,8.12E-08
0.06,0.62,11,0.06,0.62,11,0.65,0.15,3,5.55,17,31.45,85,157.25,,5.22E-08,5.22E-08,1.04E-07
0.06,0.62,10,0.06,0.62,10,0.7,0.15,3,5.55,17,31.45,85,157.25,,6.71E-08,6.71E-08,1.34E-07
0.06,0.62,10,0.06,0.62,10,0.75,0.15,3,5.55,17,31.45,85,157.25,,5.69E-08,5.69E-08,1.14E-07
0.06,0.62,9,0.06,0.62,9,0.8,0.15,3,5.55,17,31.45,85,157.25,,7.86E-08,7.86E-08,1.57E-07
0.06,0.62,8,0.06,0.62,8,0.85,0.15,3,5.55,17,31.45,85,157.25,,1.07E-07,1.07E-07,2.13E-07
0.06,0.62,8,0.06,0.62,8,0.9,0.15,3,5.55,17,31.45,85,157.25,,9.17E-08,9.17E-08,1.83E-07
0.06,0.62,7,0.06,0.62,7,0.95,0.15,3,5.55,17,31.45,85,157.25,,1.39E-07,1.39E-07,2.78E-07
0.06,0.66,77,0.06,0.66,77,0.05,0.15,3,5.55,17,31.45,85,157.25,,2.27E-11,2.27E-11,4.55E-11
0.06,0.66,52,0.06,0.66,52,0.1,0.15,3,5.55,17,31.45,85,157.25,,1.39E-10,1.39E-10,2.77E-10
0.06,0.66,40,0.06,0.66,40,0.15,0.15,3,5.55,17,31.45,85,157.25,,4.36E-10,4.36E-10,8.72E-10
0.06,0.66,32,0.06,0.66,32,0.2,0.15,3,5.55,17,31.45,85,157.25,,1.14E-09,1.14E-09,2.29E-09
0.06,0.66,27,0.06,0.66,27,0.25,0.15,3,5.55,17,31.45,85,157.25,,2.29E-09,2.29E-09,4.58E-09
0.06,0.66,23,0.06,0.66,23,0.3,0.15,3,5.55,17,31.45,85,157.25,,4.32E-09,4.32E-09,8.64E-09
0.06,0.66,20,0.06,0.66,20,0.35,0.15,3,5.55,17,31.45,85,157.25,,7.55E-09,7.55E-09,1.51E-08
0.06,0.66,18,0.06,0.66,18,0.4,0.15,3,5.55,17,31.45,85,157.25,,1.08E-08,1.08E-08,2.16E-08
0.06,0.66,16,0.06,0.66,16,0.45,0.15,3,5.55,17,31.45,85,157.25,,1.68E-08,1.68E-08,3.35E-08
0.06,0.66,14,0.06,0.66,14,0.5,0.15,3,5.55,17,31.45,85,157.25,,2.77E-08,2.77E-08,5.54E-08
0.06,0.66,13,0.06,0.66,13,0.55,0.15,3,5.55,17,31.45,85,157.25,,3.21E-08,3.21E-08,6.43E-08
0.06,0.66,12,0.06,0.66,12,0.6,0.15,3,5.55,17,31.45,85,157.25,,3.90E-08,3.90E-08,7.81E-08
0.06,0.66,11,0.06,0.66,11,0.65,0.15,3,5.55,17,31.45,85,157.25,,5.12E-08,5.12E-08,1.02E-07
0.06,0.66,10,0.06,0.66,10,0.7,0.15,3,5.55,17,31.45,85,157.25,,6.49E-08,6.49E-08,1.30E-07
0.06,0.66,10,0.06,0.66,10,0.75,0.15,3,5.55,17,31.45,85,157.25,,5.57E-08,5.57E-08,1.11E-07
0.06,0.66,9,0.06,0.66,9,0.8,0.15,3,5.55,17,31.45,85,157.25,,7.29E-08,7.29E-08,1.46E-07
0.06,0.66,8,0.06,0.66,8,0.85,0.15,3,5.55,17,31.45,85,157.25,,9.99E-08,9.99E-08,2.00E-07
0.06,0.66,8,0.06,0.66,8,0.9,0.15,3,5.55,17,31.45,85,157.25,,8.92E-08,8.92E-08,1.78E-07
0.06,0.66,7,0.06,0.66,7,0.95,0.15,3,5.55,17,31.45,85,157.25,,1.27E-07,1.27E-07,2.53E-07
0.06,0.7,77,0.06,0.7,77,0.05,0.15,3,5.55,17,31.45,85,157.25,,2.25E-11,2.25E-11,4.50E-11
0.06,0.7,52,0.06,0.7,52,0.1,0.15,3,5.55,17,31.45,85,157.25,,1.40E-10,1.40E-10,2.80E-10
0.06,0.7,40,0.06,0.7,40,0.15,0.15,3,5.55,17,31.45,85,157.25,,4.40E-10,4.40E-10,8.79E-10
0.06,0.7,32,0.06,0.7,32,0.2,0.15,3,5.55,17,31.45,85,157.25,,1.15E-09,1.15E-09,2.31E-09
0.06,0.7,27,0.06,0.7,27,0.25,0.15,3,5.55,17,31.45,85,157.25,,2.38E-09,2.38E-09,4.76E-09
0.06,0.7,23,0.06,0.7,23,0.3,0.15,3,5.55,17,31.45,85,157.25,,4.49E-09,4.49E-09,8.99E-09
0.06,0.7,20,0.06,0.7,20,0.35,0.15,3,5.55,17,31.45,85,157.25,,7.61E-09,7.61E-09,1.52E-08
0.06,0.7,18,0.06,0.7,18,0.4,0.15,3,5.55,17,31.45,85,157.25,,1.13E-08,1.13E-08,2.25E-08
0.06,0.7,16,0.06,0.7,16,0.45,0.15,3,5.55,17,31.45,85,157.25,,1.68E-08,1.68E-08,3.35E-08
0.06,0.7,14,0.06,0.7,14,0.5,0.15,3,5.55,17,31.45,85,157.25,,2.64E-08,2.64E-08,5.28E-08
0.06,0.7,13,0.06,0.7,13,0.55,0.15,3,5.55,17,31.45,85,157.25,,3.12E-08,3.12E-08,6.25E-08
0.06,0.7,12,0.06,0.7,12,0.6,0.15,3,5.55,17,31.45,85,157.25,,3.79E-08,3.79E-08,7.57E-08
0.06,0.7,11,0.06,0.7,11,0.65,0.15,3,5.55,17,31.45,85,157.25,,4.73E-08,4.73E-08,9.47E-08
0.06,0.7,10,0.06,0.7,10,0.7,0.15,3,5.55,17,31.45,85,157.25,,6.05E-08,6.05E-08,1.21E-07
0.06,0.7,10,0.06,0.7,10,0.75,0.15,3,5.55,17,31.45,85,157.25,,5.16E-08,5.16E-08,1.03E-07
0.06,0.7,9,0.06,0.7,9,0.8,0.15,3,5.55,17,31.45,85,157.25,,6.72E-08,6.72E-08,1.34E-07
0.06,0.7,8,0.06,0.7,8,0.85,0.15,3,5.55,17,31.45,85,157.25,,9.72E-08,9.72E-08,1.94E-07
0.06,0.7,8,0.06,0.7,8,0.9,0.15,3,5.55,17,31.45,85,157.25,,8.31E-08,8.31E-08,1.66E-07
0.06,0.7,7,0.06,0.7,7,0.95,0.15,3,5.55,17,31.45,85,157.25,,1.25E-07,1.25E-07,2.50E-07
0.06,0.74,77,0.06,0.74,77,0.05,0.15,3,5.55,17,31.45,85,157.25,,2.26E-11,2.26E-11,4.53E-11
0.06,0.74,52,0.06,0.74,52,0.1,0.15,3,5.55,17,31.45,85,157.25,,1.41E-10,1.41E-10,2.82E-10
0.06,0.74,40,0.06,0.74,40,0.15,0.15,3,5.55,17,31.45,85,157.25,,4.54E-10,4.54E-10,9.08E-10
0.06,0.74,32,0.06,0.74,32,0.2,0.15,3,5.55,17,31.45,85,157.25,,1.19E-09,1.19E-09,2.38E-09
0.06,0.74,27,0.06,0.74,27,0.25,0.15,3,5.55,17,31.45,85,157.25,,2.38E-09,2.38E-09,4.76E-09
0.06,0.74,23,0.06,0.74,23,0.3,0.15,3,5.55,17,31.45,85,157.25,,4.65E-09,4.65E-09,9.30E-09
0.06,0.74,20,0.06,0.74,20,0.35,0.15,3,5.55,17,31.45,85,157.25,,7.57E-09,7.57E-09,1.51E-08
0.06,0.74,18,0.06,0.74,18,0.4,0.15,3,5.55,17,31.45,85,157.25,,1.06E-08,1.06E-08,2.11E-08
0.06,0.74,16,0.06,0.74,16,0.45,0.15,3,5.55,17,31.45,85,157.25,,1.57E-08,1.57E-08,3.14E-08
0.06,0.74,14,0.06,0.74,14,0.5,0.15,3,5.55,17,31.45,85,157.25,,2.44E-08,2.44E-08,4.88E-08
0.06,0.74,13,0.06,0.74,13,0.55,0.15,3,5.55,17,31.45,85,157.25,,2.90E-08,2.90E-08,5.80E-08
0.06,0.74,12,0.06,0.74,12,0.6,0.15,3,5.55,17,31.45,85,157.25,,3.54E-08,3.54E-08,7.09E-08
0.06,0.74,11,0.06,0.74,11,0.65,0.15,3,5.55,17,31.45,85,157.25,,4.41E-08,4.41E-08,8.82E-08
0.06,0.74,10,0.06,0.74,10,0.7,0.15,3,5.55,17,31.45,85,157.25,,5.61E-08,5.61E-08,1.12E-07
0.06,0.74,10,0.06,0.74,10,0.75,0.15,3,5.55,17,31.45,85,157.25,,5.03E-08,5.03E-08,1.01E-07
0.06,0.74,9,0.06,0.74,9,0.8,0.15,3,5.55,17,31.45,85,157.25,,6.65E-08,6.65E-08,1.33E-07
0.06,0.74,8,0.06,0.74,8,0.85,0.15,3,5.55,17,31.45,85,157.25,,8.90E-08,8.90E-08,1.78E-07
0.06,0.74,8,0.06,0.74,8,0.9,0.15,3,5.55,17,31.45,85,157.25,,8.05E-08,8.05E-08,1.61E-07
